NF_URL,Correct ESPN Name
bruce-brown-jr,Bruce Brown
c-j-mccollum,CJ McCollum
c-j-wilcox,CJ Wilcox
cj-miles,CJ Miles
deandre-bembry,DeAndre' Bembry
dennis-smith,Dennis Smith Jr.
frank-mason,Frank Mason III
guillermo-hernangomez,Willy Hernangomez
ishmael-smith,Ish Smith
jacob-evans-iii,Jacob Evans
james-ennis,James Ennis III
jj-redick,JJ Redick
jose-barea,J.J. Barea
jr-smith,JR Smith
kelly-oubre,Kelly Oubre Jr.
lonnie-walker,Lonnie Walker IV
louis-williams,Lou Williams
maxi-kleber,Maximilian Kleber
melvin-frazier,Melvin Frazier Jr.
nene-hilario,Nene 
otto-porter,Otto Porter Jr.
p-j-tucker,PJ Tucker
patrick-mills,Patty Mills
t-j-warren,TJ Warren
troy-brown,Troy Brown Jr.
walter-lemon-jr,Walt Lemon Jr.
wayne-selden-jr,Wayne Selden
